Number,Steps
2369,6 steps
2370,3 steps
2371,7 steps
2372,7 steps
2373,6 steps
2374,7 steps
2375,7 steps
2376,5 steps
2377,5 steps
2378,4 steps
2379,3 steps
2380,3 steps
2381,3 steps
2382,7 steps
2383,6 steps
2384,7 steps
2385,1 step
2386,3 steps
2387,4 steps
2388,5 steps
2389,5 steps
2390,4 steps
2391,3 steps
2392,3 steps
2393,4 steps
2394,3 steps
2395,5 steps
2396,6 steps
2397,3 steps
2398,5 steps
2399,3 steps
2400,2 steps
2401,7 steps
2402,4 steps
2403,7 steps
2404,2 steps
2405,7 steps
2406,1 step
2407,5 steps
2408,6 steps
2409,3 steps
2410,7 steps
2411,3 steps
2412,6 steps
2413,3 steps
2414,5 steps
2415,2 steps
2416,7 steps
2417,1 step
2418,5 steps
2419,6 steps
2420,4 steps
2421,6 steps
2422,4 steps
2423,3 steps
2424,6 steps
2425,5 steps
2426,2 steps
2427,7 steps
2428,1 step
2429,5 steps
2430,7 steps
2431,3 steps
2432,3 steps
2433,4 steps
2434,3 steps
2435,3 steps
2436,7 steps
2437,7 steps
2438,7 steps
2439,3 steps
2440,2 steps
2441,5 steps
2442,6 steps
2443,3 steps
2444,4 steps
2445,6 steps
2446,4 steps
2447,6 steps
2448,6 steps
2449,4 steps
2450,7 steps
2451,2 steps
2452,5 steps
2453,3 steps
2454,6 steps
2455,3 steps
2456,7 steps
2457,7 steps
2458,7 steps
2459,3 steps
2460,1 step
2461,7 steps
2462,2 steps
2463,7 steps
2464,4 steps
2465,7 steps
2466,2 steps
2467,7 steps
2468,1 step
2469,5 steps
2470,5 steps
2471,1 step
2472,7 steps
2473,7 steps
2474,6 steps
2475,7 steps
2476,7 steps
2477,5 steps
2478,3 steps
2479,6 steps
2480,6 steps
2481,5 steps
2482,1 step
2483,7 steps
2484,6 steps
2485,7 steps
2486,1 step
2487,3 steps
2488,4 steps
2489,3 steps
2490,3 steps
2491,6 steps
2492,5 steps
2493,3 steps
2494,4 steps
2495,3 steps
2496,5 steps
2497,6 steps
2498,3 steps
2499,5 steps
2500,7 steps
2501,7 steps
2502,6 steps
2503,7 steps
2504,7 steps
2505,5 steps
2506,3 steps
2507,6 steps
2508,5 steps
2509,3 steps
2510,7 steps
2511,7 steps
2512,4 steps
2513,7 steps
2514,2 steps
2515,3 steps
2516,5 steps
2517,3 steps
2518,6 steps
2519,5 steps
2520,6 steps
2521,4 steps
2522,6 steps
2523,3 steps
2524,5 steps
2525,6 steps
2526,3 steps
2527,5 steps
2528,3 steps
2529,6 steps
2530,7 steps
2531,7 steps
2532,3 steps
2533,6 steps
2534,3 steps
2535,5 steps
2536,2 steps
2537,7 steps
2538,1 step
2539,5 steps
2540,7 steps
2541,2 steps
2542,5 steps
2543,3 steps
2544,6 steps
2545,3 steps
2546,7 steps
2547,7 steps
2548,7 steps
2549,3 steps
2550,5 steps
2551,3 steps
2552,6 steps
2553,5 steps
2554,3 steps
2555,6 steps
2556,4 steps
2557,6 steps
2558,6 steps
2559,4 steps
2560,3 steps
2561,5 steps
2562,3 steps
2563,2 steps
2564,7 steps
2565,4 steps
2566,7 steps
2567,7 steps
2568,7 steps
2569,3 steps
2570,6 steps
2571,3 steps
2572,5 steps
2573,7 steps
2574,7 steps
2575,6 steps
2576,7 steps
2577,7 steps
2578,1 step
